,year,country,crudeImp_mmtoe
177,2012,Nigeria,6.808
178,2012,Norway,27.814
179,2012,Russia ,6.329
180,2012,Venezuela,0.707
181,2012,Other ,5.123
182,2013,Iran,0.0
183,2013,Saudi Arabia,1.882
184,2013,Algeria,6.032
185,2013,Angola,1.236
186,2013,Latvia,0.0
187,2013,Libya,2.212
188,2013,Lithuania ,0.0
189,2013,Mexico,0.0
190,2013,Netherlands ,0.078
191,2013,Nigeria,5.556
192,2013,Norway,20.29
193,2013,Russia ,3.585
194,2013,Venezuela,0.544
195,2013,Other ,7.477
196,2014,Iran,0.0
197,2014,Saudi Arabia,1.568
198,2014,Algeria,6.735
199,2014,Angola,0.881
200,2014,Latvia,0.0
201,2014,Libya,0.675
202,2014,Lithuania ,0.0
203,2014,Mexico,0.0
204,2014,Netherlands ,0.04
205,2014,Nigeria,5.293
206,2014,Norway,21.344
207,2014,Russia ,2.961
208,2014,Venezuela,0.499
209,2014,Other ,6.467
210,2015,Iran,0.0
211,2015,Saudi Arabia,1.721
212,2015,Algeria,6.021
213,2015,Angola,2.441
214,2015,Latvia,0.0
215,2015,Libya,0.303
216,2015,Lithuania ,0.0
217,2015,Mexico,0.0
218,2015,Netherlands ,0.006
219,2015,Nigeria,5.175
220,2015,Norway,22.374
221,2015,Russia ,2.836
222,2015,Venezuela,0.447
223,2015,Other ,3.268
224,2016,Iran,0.0
225,2016,Saudi Arabia,1.285
226,2016,Algeria,2.34
227,2016,Angola,1.042
228,2016,Latvia,0.0
229,2016,Libya,0.994
230,2016,Lithuania ,0.0
231,2016,Mexico,0.0
232,2016,Netherlands ,0.003
233,2016,Nigeria,3.031
234,2016,Norway,28.465
235,2016,Russia ,2.576
236,2016,Venezuela,0.358
237,2016,Other ,3.786
